34,2,2,39,3,1,34,28,31,36,101,28,112,34,3,112,7,4,4,4,8,34
2,110,102,113,108,3,32,31,3,110,106,32,29,29,2,16,5,18,15,34,5,2
1,34,15,19,112,1,28,29,29,29,29,30,30,28,37,24,26,39,7,27,13,4
3,112,1,16,1,2,37,26,112,30,30,34,3,30,28,2,5,3,31,21,35,3
29,29,42,24,34,32,30,31,1,1,1,2,1,112,28,30,28,113,6,102,108,3
34,30,30,30,30,31,3,32,34,1,3,1,1,34,31,140,32,34,31,3,1,1
30,31,34,112,1,32,29,31,1,1,1,1,1,16,30,29,28,4,9,1,34,3
1,1,1,1,18,34,31,112,1,1,34,15,15,23,1,3,31,2,3,1,1,112
34,3,1,1,16,32,31,1,1,3,1,1,1,21,133,26,26,22,34,15,15,19
21,15,15,34,24,26,26,133,19,1,1,1,3,1,1,32,31,16,1,1,3,34
112,1,1,3,2,32,3,1,25,15,15,34,1,1,112,32,34,20,1,1,1,1
3,34,1,7,4,28,30,29,16,1,1,1,1,1,32,30,31,1,112,34,32,29
1,1,3,32,34,31,146,32,34,1,1,3,1,34,31,3,32,29,29,29,29,34
3,110,102,6,113,28,29,28,112,1,2,1,1,1,32,29,31,34,22,47,30,30
3,35,19,32,3,5,2,28,29,3,34,29,29,112,26,37,2,1,16,1,112,3
4,11,27,9,44,26,22,37,28,29,29,30,30,30,30,28,1,112,21,15,34,1
2,5,34,15,20,5,16,2,30,30,31,104,108,3,32,31,3,110,113,102,108,2
34,10,4,4,4,9,112,3,34,112,28,101,36,32,28,34,1,3,44,2,2,34
