28,28,3,18,15,34,112,15,15,26,39,3,2,133,33,33,28,28,28,28,28,28,28,28,28,28,28,28,28
31,112,34,20,3,1,1,1,43,3,2,29,29,28,28,28,28,30,18,34,26,15,15,36,2,28,28,33,28
31,3,1,2,1,1,3,112,1,3,29,29,29,37,29,31,3,18,20,3,28,28,110,113,115,108,30,28,28
34,19,1,1,1,1,34,1,29,29,31,34,1,3,112,29,31,42,2,28,28,28,28,28,37,112,1,39,28
27,20,3,34,1,2,1,28,28,29,30,29,32,1,1,3,31,3,2,28,31,34,28,28,28,29,3,1,28
27,19,3,1,3,1,28,28,29,29,112,32,32,31,34,32,28,28,28,28,28,28,145,28,28,28,28,3,28
34,20,1,1,2,3,32,29,1,34,19,2,32,32,3,32,28,28,28,28,28,28,28,28,33,33,28,29,28
2,3,1,1,1,3,32,2,1,3,16,1,3,32,29,28,28,30,30,28,34,30,30,28,28,28,28,28,28
29,37,112,1,34,1,29,29,29,29,21,34,29,28,28,28,28,112,37,28,29,112,19,3,30,30,28,33,28
28,21,19,3,1,1,1,29,29,28,28,28,28,33,28,31,133,28,29,28,28,3,35,15,2,34,30,28,28
28,29,21,19,3,1,3,2,29,33,28,33,28,28,28,28,28,33,28,33,30,2,3,1,3,21,19,30,28
28,28,29,34,2,15,35,3,28,28,30,28,133,32,28,33,28,28,28,28,30,30,1,1,1,3,21,19,28
28,33,28,29,29,3,21,112,30,28,37,112,28,28,28,28,30,34,19,30,30,30,30,1,34,1,112,37,30
28,28,28,28,28,28,29,29,34,28,29,29,28,28,30,31,3,1,16,3,1,2,31,3,1,1,1,3,2
28,30,28,33,33,28,28,28,28,28,28,28,28,31,3,31,31,2,21,34,1,30,31,3,2,1,1,18,34
28,3,28,28,28,28,145,28,28,28,28,28,28,31,34,32,31,31,112,30,30,28,28,1,3,1,3,21,27
28,1,3,30,28,28,28,34,32,28,2,3,32,3,1,1,31,30,29,30,28,28,1,2,1,34,3,18,27
28,44,1,112,37,28,28,28,28,28,2,47,32,30,112,3,1,34,32,30,30,1,34,1,1,1,1,21,34
28,28,29,110,115,113,108,28,28,3,18,20,3,32,30,37,30,30,30,3,1,112,3,1,1,2,1,3,32
28,33,28,28,2,36,15,15,26,34,20,29,28,28,28,28,30,30,2,3,34,1,1,1,3,18,34,112,32
28,28,28,28,28,28,28,28,28,28,28,28,28,33,33,133,2,3,44,26,15,15,112,34,15,20,3,28,28
