33,29,34,1,42,1,1,1,21,26,34,15,15,20,37,1,3,39,2,26,133
29,3,1,18,20,112,2,3,1,29,3,3,39,29,28,29,112,3,110,102,108
34,1,112,20,1,1,34,1,3,30,28,29,29,28,28,28,29,29,29,28,36
1,18,20,1,1,18,20,1,1,1,28,28,29,2,35,29,3,113,3,28,3
18,20,1,1,34,20,1,1,18,26,34,28,28,29,28,28,28,34,29,28,29
27,34,3,28,29,1,1,3,34,5,1,1,1,3,1,28,30,29,32,33,28
21,19,1,29,28,34,18,15,17,26,112,115,15,19,34,1,1,3,32,28,33
1,21,19,34,1,1,112,1,27,29,29,133,1,21,15,15,19,1,34,32,28
34,1,16,1,1,3,21,34,23,112,29,3,1,1,1,34,21,2,19,32,32
3,1,16,112,1,1,1,1,21,15,26,15,19,1,1,1,1,112,16,1,3
31,31,21,2,19,34,1,1,1,3,30,112,25,34,19,3,1,1,16,1,34
28,31,34,1,21,15,15,19,1,133,30,30,27,1,112,1,1,34,21,19,1
33,28,31,3,1,1,34,21,15,115,112,26,17,15,20,34,28,30,1,21,19
28,33,31,30,29,28,1,3,1,1,1,5,34,3,1,1,30,28,3,34,27
30,28,30,34,28,28,28,30,28,28,34,26,20,1,1,18,34,1,1,18,20
3,28,3,113,3,30,35,2,30,28,28,1,1,1,18,20,1,1,18,20,1
36,28,30,30,30,28,28,28,30,30,28,29,3,1,34,1,1,18,112,1,34
110,102,108,3,112,30,28,30,44,3,3,30,1,3,2,112,18,20,1,3,30
133,26,2,44,3,1,37,18,15,15,34,26,19,1,1,1,47,1,34,30,33
