45,28,28,30,18,20,112,3,43,7,4,2,1,3,39,29,30,30,28,28,28,31,133
28,30,1,1,34,2,1,39,1,28,28,28,34,1,29,29,2,1,112,37,28,28,28
30,3,1,1,1,2,2,16,3,1,30,30,28,28,29,1,34,3,1,1,3,30,28
1,34,19,3,1,112,2,21,19,1,34,34,31,31,3,1,21,15,19,3,2,3,28
1,21,2,19,1,21,34,2,21,22,20,30,31,146,112,1,1,1,34,19,3,1,30
1,3,21,34,1,1,16,1,30,27,30,30,30,1,1,3,1,2,1,21,15,19,30
34,1,1,3,3,18,20,3,28,133,26,1,3,1,1,34,29,29,2,1,1,35,19
18,15,19,29,31,34,1,31,30,112,30,28,34,3,18,20,31,30,28,1,3,29,27
112,28,27,28,31,2,3,31,34,28,28,28,29,29,27,28,31,34,28,28,27,28,27
27,28,36,31,115,17,115,31,16,30,110,102,108,29,16,32,115,17,115,32,36,28,27
27,28,27,28,28,34,32,28,27,30,30,28,28,28,34,32,3,2,32,28,27,28,112
27,30,3,1,28,29,32,18,20,3,34,28,29,112,29,32,1,34,32,30,21,15,20
21,35,1,1,2,30,30,34,1,1,3,1,26,133,28,3,18,20,3,3,1,1,34
29,21,15,19,1,2,1,3,1,1,29,29,29,27,29,1,16,1,1,34,19,3,1
29,1,3,21,34,1,1,1,112,140,32,29,18,24,19,2,34,19,1,21,2,19,1
28,3,2,3,21,15,19,1,3,32,32,34,34,1,21,19,2,112,1,3,21,34,1
28,29,3,1,1,3,34,1,30,28,28,29,29,1,3,16,2,2,1,1,1,3,29
28,28,28,37,112,1,2,30,30,1,34,28,28,28,1,44,1,2,34,1,1,29,28
133,32,28,28,28,29,29,30,44,3,1,2,4,9,34,3,112,18,20,29,28,28,40
