18,15,19,1,1,18,37,19,1,1,1,32,28,28,28,31,34,15,38
34,3,21,15,146,20,1,16,3,18,34,1,30,30,28,28,29,29,16
3,1,34,3,1,1,2,35,2,16,2,1,3,1,37,28,28,26,36
1,18,20,1,28,28,30,28,28,21,15,15,15,19,3,30,28,28,27
18,20,3,18,26,26,19,32,28,2,39,2,34,16,1,3,30,28,28
16,1,1,34,28,28,27,28,31,34,109,1,1,21,15,34,19,30,30
34,3,1,7,28,28,16,3,1,1,29,29,3,3,1,2,21,15,34
21,19,1,26,113,26,17,133,3,1,30,30,1,28,31,1,3,1,2
1,21,34,28,29,28,16,3,1,1,34,1,1,28,31,39,19,1,1
3,1,16,3,2,31,21,15,19,3,21,15,19,32,2,3,16,1,3
1,1,21,44,32,28,1,1,34,1,1,3,16,28,30,28,34,19,1
2,1,3,1,32,28,1,29,29,1,3,133,17,26,113,26,1,21,19
34,15,19,2,1,3,3,30,30,1,1,3,16,28,28,9,1,3,34
29,29,21,34,15,19,1,1,107,34,32,28,27,28,28,34,1,1,16
28,28,29,3,1,16,34,2,44,2,28,31,21,26,26,20,3,18,20
27,28,28,29,3,21,15,15,15,19,28,28,29,28,28,1,18,20,1
36,26,28,28,37,1,3,1,2,16,2,35,2,1,1,3,34,1,3
16,30,30,28,28,29,29,1,34,20,3,16,1,18,140,15,19,3,34
43,15,34,32,28,28,28,31,1,1,1,21,37,20,1,1,21,15,20
