10,8,18,26,22,26,15,15,19,2,18,15,19,30,30,30,2,2,5,2,2,34,107
34,26,112,26,34,26,3,2,47,15,20,3,34,1,1,18,15,44,10,11,4,4,12
21,26,23,14,27,9,1,1,1,1,2,1,1,1,2,34,3,21,15,26,44,3,5
7,13,27,9,2,18,34,19,3,1,18,15,19,1,1,3,2,2,34,101,16,2,101
5,2,21,15,34,20,1,21,19,1,34,1,21,22,15,19,1,3,3,14,27,11,9
101,34,2,1,1,1,3,1,16,1,1,3,1,34,1,21,19,1,2,26,112,5,36
101,16,1,3,1,1,18,34,20,1,1,1,1,1,2,2,145,19,3,14,4,13,8
5,21,19,1,34,15,20,1,1,3,1,34,2,1,1,3,1,16,1,101,3,35,5
101,3,34,1,1,1,3,1,1,1,18,20,1,1,2,1,2,21,34,26,15,20,5
101,1,110,105,3,2,1,1,133,15,20,1,18,15,133,1,1,2,3,103,108,1,101
5,18,15,26,34,19,2,1,2,1,1,18,20,1,1,1,3,1,1,1,34,3,101
5,35,3,101,1,16,1,3,1,1,2,34,1,3,1,1,18,15,34,1,21,19,5
10,11,4,12,3,21,145,2,2,1,1,1,1,1,18,34,20,1,1,3,1,16,101
36,5,112,26,2,1,21,19,1,34,1,3,1,1,16,1,3,1,1,1,2,34,101
7,13,27,12,3,3,1,21,15,24,19,1,34,1,21,19,1,18,34,15,19,2,5
101,2,16,101,34,2,2,3,1,1,21,15,20,1,3,21,34,20,2,7,27,11,9
5,3,39,26,15,19,3,34,2,1,1,1,2,1,1,1,1,7,27,12,25,26,19
14,4,4,13,8,39,15,20,1,1,34,3,18,15,42,2,3,26,34,26,112,26,34
109,34,2,2,5,2,2,29,29,29,21,15,20,2,21,15,15,26,24,26,20,10,8
