44,101,34,39,18,15,15,26,34,3,32,31,1,112,34,1,1,112,34
102,106,1,21,20,2,3,1,1,1,28,31,1,1,1,1,7,29,1
34,3,29,28,28,18,19,34,2,1,3,18,15,34,19,1,30,30,1
1,28,28,28,30,21,20,3,1,1,18,20,1,1,21,15,34,19,3
36,30,9,39,3,2,1,1,1,1,21,34,1,3,1,1,1,27,1
110,113,108,16,104,108,1,1,34,1,1,29,29,1,1,133,1,27,34
1,18,15,20,109,34,1,18,15,19,112,28,30,34,1,112,18,20,1
1,27,34,3,1,18,15,20,112,21,26,19,1,1,18,15,20,140,1
18,20,28,28,18,20,28,1,1,1,3,21,19,1,27,34,29,29,1
37,29,29,28,16,3,18,34,1,1,1,34,20,3,16,28,30,30,37
1,30,30,34,27,1,21,19,3,1,1,1,28,18,20,28,28,18,20
1,146,18,15,20,1,1,21,26,19,112,18,15,20,1,3,34,27,1
1,18,20,112,1,34,29,28,112,21,15,20,1,34,107,18,15,20,1
34,27,1,133,1,1,30,30,1,1,34,1,1,110,106,16,110,113,108
1,27,1,1,1,3,1,34,19,1,1,1,1,2,3,44,7,29,36
3,21,34,15,19,1,1,18,20,1,1,3,18,19,29,28,28,28,1
1,29,29,1,21,34,15,20,3,1,2,34,21,20,28,28,30,3,34
1,30,9,1,1,1,1,32,28,1,1,1,3,2,18,19,1,104,102
34,112,1,1,34,112,1,32,31,3,34,26,15,15,20,44,34,101,39
