28,2,3,21,2,19,30,30,28,33,29,36,3,2,1,38,18,20,3,2,2,28
19,3,2,3,1,21,34,3,30,30,110,102,102,108,18,3,20,1,1,34,3,1
21,133,112,19,1,7,30,30,30,30,30,28,28,30,27,30,8,3,1,21,15,34
3,1,3,34,3,30,28,30,39,15,34,3,30,30,27,28,28,28,29,2,1,3
34,19,1,21,15,112,2,2,2,1,21,15,15,37,114,30,33,30,30,34,1,2
29,16,1,3,1,1,3,2,1,1,1,2,112,28,30,30,30,39,15,20,1,2
28,112,29,8,1,34,19,3,1,34,3,29,29,28,28,30,2,3,3,30,30,27
30,30,28,30,1,3,21,19,146,29,28,29,30,30,3,34,3,1,1,29,3,16
30,1,2,34,1,1,1,34,1,10,30,30,1,29,28,29,29,112,30,28,35,20
34,1,3,1,2,3,1,3,1,18,26,3,34,2,30,28,30,27,29,9,1,1
3,1,1,2,18,34,1,1,3,16,30,29,16,3,1,1,34,20,2,1,1,3
1,1,7,30,27,29,28,29,2,34,3,26,20,1,3,1,3,2,1,3,1,34
18,35,28,29,112,30,30,28,30,1,29,29,8,1,34,1,1,1,34,2,1,29
16,3,30,1,1,3,34,3,29,29,30,28,30,140,21,19,3,1,29,28,29,29
27,29,29,3,3,2,29,28,28,30,30,3,34,1,3,21,34,1,10,30,112,28
2,1,18,15,44,29,29,29,28,112,2,1,1,1,2,3,1,1,3,1,16,30
2,1,34,29,29,33,29,114,37,15,15,19,1,2,2,2,112,15,19,1,21,34
3,1,2,30,28,28,28,27,29,29,3,34,15,44,29,28,29,3,34,3,1,3
34,15,19,1,3,10,29,27,29,28,28,29,29,29,29,29,9,1,21,112,133,19
1,3,34,1,1,18,3,20,110,102,102,108,29,29,3,34,19,1,3,2,3,21
28,2,2,3,18,20,43,1,2,3,36,30,33,28,29,29,21,2,19,3,2,28
