20,2,2,1,34,18,15,15,19,34,3,112,1,3,1,1,2,3,36,2,2
2,112,1,3,1,16,1,1,21,15,112,112,112,15,34,19,1,2,21,19,2
2,1,36,1,18,20,3,1,1,1,1,34,1,1,1,21,112,1,2,16,3
4,4,8,112,16,3,1,34,2,1,3,32,4,8,3,3,1,1,1,3,2
3,1,26,1,133,1,29,31,1,3,1,1,1,10,4,27,8,35,1,1,1
3,1,10,4,8,1,32,30,1,34,1,2,1,3,1,1,10,8,3,1,1
1,1,34,1,26,1,2,1,1,1,112,1,140,1,1,34,1,26,3,1,1
1,18,15,19,5,3,34,1,3,1,1,3,1,1,2,1,3,10,8,1,34
18,20,1,16,10,29,29,29,8,18,34,19,1,3,7,29,8,35,26,1,1
16,87,2,21,19,1,1,3,5,16,2,21,19,7,9,1,10,27,9,1,3
16,3,1,1,16,34,7,113,9,16,3,2,16,32,1,3,1,1,3,1,1
21,34,19,3,16,1,5,1,18,20,1,3,34,10,8,1,18,15,19,1,1
1,1,21,15,20,1,10,8,34,3,1,18,20,1,5,1,16,3,21,34,19
1,1,3,1,1,3,1,31,16,2,3,16,7,113,9,34,16,1,1,3,16
3,1,7,27,8,1,7,9,21,19,2,16,5,3,1,1,21,19,2,44,16
1,1,26,35,10,30,9,3,1,21,34,20,10,30,30,30,8,16,1,18,20
34,1,10,8,3,1,2,1,1,3,1,1,3,1,34,3,5,21,15,20,1
1,1,3,26,1,34,1,1,143,1,112,1,1,1,2,1,26,1,34,1,1
1,1,3,10,8,1,1,3,1,2,1,34,1,29,31,1,10,4,8,1,3
1,1,1,35,10,27,4,8,1,1,1,3,1,32,30,1,133,1,26,1,3
2,3,1,1,1,3,3,10,4,31,3,1,2,34,1,3,16,112,10,4,4
3,16,2,1,112,19,1,1,1,34,1,1,1,1,3,18,20,1,36,1,2
2,21,19,2,1,21,34,15,112,112,112,15,19,1,1,16,1,3,1,112,2
2,2,36,3,2,1,1,3,1,112,3,34,21,15,15,20,34,1,2,2,18
