2,36,2,2,2,1,1,1,3,1,34,34,2,2,2,3,1,3,2,2,2,2,2
2,2,3,1,1,3,112,34,1,1,1,1,1,2,1,34,1,1,35,1,2,2,2
2,2,1,1,1,1,3,1,1,2,1,34,1,3,1,1,1,2,1,29,31,2,2
2,1,1,2,34,1,133,18,15,15,15,15,15,19,1,1,2,1,1,32,30,1,2
34,1,3,1,1,1,18,20,3,1,1,1,1,21,19,3,1,112,34,1,82,1,2
3,3,18,15,15,15,20,2,3,34,2,1,1,1,21,19,1,1,1,1,3,3,34
2,18,20,34,1,1,34,2,2,2,1,1,34,34,1,16,85,2,2,1,1,3,3
18,16,19,1,1,2,2,1,1,34,1,3,32,29,1,16,1,1,34,2,2,3,2
15,150,15,112,2,1,1,3,1,18,19,1,30,31,18,20,32,29,1,2,3,2,34
21,16,20,1,2,32,29,34,18,20,21,34,19,18,20,34,30,31,2,1,18,16,19
34,2,3,2,1,30,31,18,20,32,29,1,21,20,1,3,1,1,2,112,15,82,15
2,3,2,2,34,1,1,16,1,30,31,3,1,34,1,1,2,2,1,1,21,16,20
3,3,1,1,2,2,153,16,1,34,34,1,1,2,2,2,34,1,1,34,18,20,2
34,3,3,1,1,1,1,21,19,1,1,1,2,34,3,2,18,15,15,15,20,3,3
2,1,150,1,34,112,1,3,21,19,1,1,1,1,3,18,20,1,1,1,3,1,34
2,1,29,31,1,1,2,1,1,21,15,15,15,15,15,20,133,1,34,2,1,1,2
2,2,32,30,1,2,1,1,1,3,1,34,1,2,1,1,3,1,1,1,1,2,2
2,2,2,1,35,1,1,34,1,2,1,1,1,1,1,34,112,3,1,1,3,2,2
2,2,2,2,2,3,1,3,2,2,2,34,34,1,3,1,1,1,2,2,2,36,2
