2,28,28,31,2,18,15,15,34,2,1,140,3,1,34,1,1,32,28,31,2,15,19,28,28,31,133
36,32,28,33,28,34,2,3,1,1,1,21,19,1,2,1,3,37,30,28,31,3,34,1,30,33,29
28,28,30,30,30,28,28,1,1,3,34,112,21,15,15,19,1,1,1,28,28,29,1,1,36,30,28
33,30,1,3,39,3,30,29,29,1,1,1,1,3,1,34,15,19,3,1,1,30,29,1,21,19,30
30,1,34,1,1,1,3,29,29,29,29,29,1,1,3,2,1,21,15,34,1,1,28,29,3,112,39
107,3,16,1,3,29,29,32,28,34,28,30,30,28,35,3,1,1,1,21,19,3,30,28,1,1,3
109,18,20,1,29,28,37,30,30,27,30,1,30,30,28,29,3,34,1,3,16,1,1,30,30,1,2
146,16,3,1,29,18,20,1,3,16,1,3,34,1,30,28,3,2,1,1,34,112,3,1,30,2,34
112,20,1,29,28,16,1,1,133,20,1,1,1,3,1,10,35,2,3,1,112,34,3,1,26,15,20
34,1,30,30,34,20,3,1,1,3,1,112,18,19,3,1,109,18,19,1,1,3,1,1,34,1,1
1,3,26,15,20,1,1,34,18,19,2,34,21,17,19,34,2,21,20,34,1,1,18,15,26,3,1
1,1,34,1,1,3,1,1,21,20,107,1,3,21,20,112,1,3,1,1,3,18,34,29,29,1,34
18,15,26,1,3,34,112,1,3,2,35,8,1,3,1,1,1,18,133,1,1,16,28,30,1,18,112
34,2,29,1,3,112,34,1,1,2,3,28,29,1,34,3,1,16,3,1,18,20,30,1,3,16,140
2,1,29,29,1,1,16,3,1,34,3,30,28,29,29,1,29,27,29,29,37,28,30,1,18,20,107
3,1,1,28,29,3,21,19,1,1,1,3,35,28,29,29,28,34,28,31,30,30,3,1,16,3,109
44,112,3,30,28,1,1,34,15,19,1,2,3,1,1,30,30,30,30,30,3,1,1,1,34,1,29
29,21,19,1,30,29,1,1,3,21,15,34,1,3,1,1,1,1,30,30,29,3,44,3,1,29,33
28,29,36,1,1,30,28,28,1,1,1,21,15,15,19,112,34,3,1,1,28,28,29,29,29,28,28
30,33,29,1,34,3,32,28,29,37,3,1,2,1,21,19,1,1,1,3,2,34,28,33,28,31,36
133,32,28,28,21,15,2,32,28,31,1,1,34,1,3,146,1,2,34,15,15,20,2,32,28,28,2
