29,2,34,1,1,21,39,15,15,26,15,15,19,34,2,36,2,27,4,11,27,8,34
37,3,1,3,2,2,1,1,34,10,8,1,21,15,19,1,3,16,2,5,112,26,19
21,19,1,1,34,2,2,1,3,112,26,145,3,3,16,19,1,34,3,10,27,12,16
112,21,19,1,1,3,34,19,1,42,1,2,2,1,21,24,19,1,1,39,20,10,27
3,133,21,15,19,1,1,21,19,1,3,1,110,105,35,3,16,2,2,1,1,18,20
1,1,34,3,2,1,3,3,16,2,1,1,1,10,105,32,27,34,3,2,3,16,34
29,29,1,1,21,19,29,29,34,3,1,1,34,1,109,32,27,1,1,18,26,20,1
34,26,2,1,1,34,29,29,1,1,3,112,3,1,2,2,21,19,1,34,30,1,1
3,29,29,2,3,112,1,2,3,1,112,17,112,1,3,2,1,112,3,2,30,30,3
1,1,29,34,1,21,19,2,2,1,3,112,3,1,1,30,30,34,1,1,2,26,34
1,18,26,20,1,1,27,31,107,1,34,1,1,3,34,30,30,21,19,1,1,30,30
34,16,3,2,3,34,27,31,103,8,1,1,1,2,16,3,3,1,2,3,34,1,1
18,20,1,1,2,2,16,3,35,103,108,1,3,1,21,19,1,1,21,15,19,133,3
27,8,18,44,1,1,21,22,19,1,2,2,1,47,1,21,34,3,1,1,21,19,112
16,14,27,8,3,34,1,21,16,3,3,145,26,112,3,1,2,2,34,1,1,21,19
21,26,112,5,2,16,3,1,21,15,19,1,10,8,34,1,1,2,2,3,1,3,37
34,10,27,13,4,27,2,36,2,34,21,15,15,26,15,15,44,19,1,1,34,2,30
