34,3,26,28,28,28,31,37,35,1,1,28,34,36,28,31,2,2,37,32,28,28,28,28,28,31,133
34,28,28,31,18,15,15,20,3,2,1,32,28,28,31,18,87,1,1,3,36,2,1,3,28,28,29
27,28,31,1,21,87,1,1,2,34,1,30,30,5,1,34,20,3,7,2,21,19,1,1,34,28,28
28,28,1,1,2,2,1,3,1,1,1,1,2,10,27,4,2,27,9,1,1,21,19,2,1,30,28
31,3,1,18,34,3,2,1,1,1,2,1,34,1,3,2,34,1,18,34,1,1,16,1,3,1,28
28,28,3,21,15,15,34,1,34,1,1,1,21,19,3,18,20,1,21,20,1,90,34,1,1,34,28
30,30,29,29,28,29,29,28,1,2,133,1,1,21,15,20,1,3,1,1,2,1,3,29,29,3,32
3,1,34,28,28,28,30,30,18,15,20,32,31,1,34,1,1,2,18,15,34,1,29,28,28,30,30
34,1,29,28,28,3,1,1,16,34,1,32,31,28,32,31,1,34,16,1,1,3,28,28,30,1,34
29,29,28,28,30,1,34,15,20,2,1,1,34,1,32,31,18,15,20,29,29,28,28,28,34,1,3
31,3,30,30,3,1,2,1,1,3,1,18,15,19,1,1,133,2,1,28,30,30,28,30,30,29,29
28,34,1,1,34,57,1,18,19,1,18,20,3,21,19,1,1,1,34,1,34,15,15,19,3,28,28
28,1,3,1,16,1,1,34,20,1,34,2,3,1,34,1,2,1,1,1,2,3,34,20,1,3,32
28,29,1,2,21,19,1,1,7,27,2,4,27,8,2,1,1,1,1,3,1,2,2,1,1,28,28
28,28,34,1,1,21,19,2,9,3,18,34,1,5,29,29,1,34,2,1,1,54,19,1,32,28,27
30,28,28,3,1,2,36,3,1,1,54,20,32,28,28,31,1,2,3,18,15,15,20,32,28,28,34
133,32,28,28,28,28,28,31,89,2,2,32,28,36,34,28,1,1,35,37,32,28,28,28,26,3,34
