3,1,18,15,34,1,1,3,34,1,2,1,3,29,29,27,28,36,1
1,34,20,1,1,1,1,18,20,1,1,1,18,34,5,39,26,1,34
1,1,29,31,1,1,1,16,1,1,34,15,20,3,10,4,28,27,28
2,1,32,30,1,3,1,34,1,3,1,1,1,1,1,3,26,39,28
1,1,3,1,34,1,1,1,1,1,1,1,34,1,2,34,10,4,9
34,19,1,1,21,15,19,1,1,32,29,1,21,19,3,1,1,1,3
1,21,19,1,1,1,34,1,3,30,31,42,1,34,1,1,18,34,1
3,1,21,133,1,3,1,1,1,1,18,20,1,1,1,18,20,1,2
1,32,29,1,1,16,1,1,34,15,20,3,34,1,1,34,3,1,1
1,30,31,1,1,21,19,1,1,1,1,1,21,19,1,1,32,29,1
1,1,3,34,1,1,34,3,18,15,34,1,1,16,1,1,30,31,1
2,1,18,20,1,1,1,18,20,1,1,1,1,3,1,133,19,1,3
1,34,20,1,1,34,1,47,32,29,3,1,34,1,1,1,21,19,1
3,1,1,1,3,21,19,1,30,31,1,1,21,15,19,1,1,21,34
7,4,8,34,2,1,34,1,1,1,1,1,1,1,34,1,3,1,1
28,44,26,3,1,1,1,1,1,3,1,34,1,3,1,29,31,1,2
28,27,28,4,8,3,18,15,34,1,1,16,1,1,1,32,30,1,1
34,1,26,44,5,34,20,1,1,1,18,20,1,1,1,1,18,34,1
1,36,28,27,30,30,3,1,2,1,34,3,1,1,34,15,20,1,3
