2,2,18,15,19,1,1,34,2,18,15,34,19,3,44,3,3,18,36,1,2,18,133
34,15,20,1,34,1,3,21,115,20,1,3,21,22,24,15,22,20,3,1,1,16,2
1,3,1,18,20,1,1,1,3,34,1,3,3,21,115,2,44,2,3,1,34,21,19
1,18,34,20,3,1,1,29,29,2,2,1,37,2,35,2,2,34,29,4,29,29,27
1,112,1,1,1,34,1,1,30,2,2,29,28,30,2,29,28,30,30,1,18,34,20
34,21,19,1,1,1,1,34,1,1,3,31,112,30,30,30,28,1,1,1,16,1,3
1,1,16,34,1,1,3,1,1,112,1,32,30,29,3,1,1,112,34,1,21,19,1
1,18,20,1,29,1,1,1,34,20,29,1,1,1,1,30,133,15,20,3,1,47,112
112,42,1,3,18,15,133,29,1,1,1,1,30,18,34,1,1,1,30,1,18,20,1
1,21,19,1,34,112,1,1,3,30,29,31,1,112,1,1,3,1,1,34,16,1,1
3,1,16,1,1,1,28,29,29,29,112,32,3,1,1,34,1,1,1,1,21,19,34
18,34,20,1,29,29,28,30,2,29,28,30,2,2,29,1,1,34,1,1,1,112,1
27,30,30,4,30,34,2,2,35,2,37,1,2,2,30,30,1,1,3,18,34,20,1
21,19,34,1,3,2,39,2,115,19,3,3,1,34,3,1,1,1,18,20,1,3,1
2,16,1,1,3,18,24,15,22,24,19,3,1,18,115,19,3,1,34,1,18,15,34
133,20,2,1,36,20,3,3,39,3,21,34,15,20,2,34,1,1,21,15,20,2,2
