28,28,28,28,34,30,28,28,28,28,28,28,30,1,1,34,30,30,1,2,30,30,1,1,1,28,28,28,28,33
33,28,30,1,1,3,28,28,33,28,29,112,1,34,1,17,1,3,34,1,34,15,19,2,34,19,28,28,28,28
28,28,34,1,39,1,30,28,28,28,1,1,1,3,18,44,1,2,3,1,1,1,112,3,2,16,37,1,28,28
28,30,3,1,16,1,3,28,28,30,3,34,2,1,44,20,3,1,18,15,19,3,16,34,2,16,1,36,28,28
31,36,1,1,16,2,1,28,28,3,1,25,15,19,1,3,34,1,140,2,34,1,16,2,18,39,1,28,28,28
31,1,1,3,34,1,112,3,34,1,18,20,1,34,1,1,1,112,21,15,20,1,21,112,20,1,1,28,28,28
28,34,1,2,16,1,2,1,1,18,34,3,2,1,29,29,3,1,1,34,3,29,29,1,34,1,28,28,28,28
28,29,1,2,21,19,1,1,1,21,23,1,2,1,28,28,29,3,1,29,29,30,30,29,3,29,28,28,30,28
28,28,3,34,2,21,34,1,2,1,133,1,34,29,28,28,29,34,29,30,30,34,3,30,29,28,28,28,133,28
28,28,29,1,2,3,16,146,2,1,16,1,3,29,28,33,28,29,30,18,15,15,15,34,30,28,28,28,28,28
33,28,28,29,1,1,16,1,3,1,34,1,29,28,28,28,28,30,1,34,1,3,1,16,1,1,30,28,28,33
28,28,28,28,28,29,34,15,15,15,20,29,30,28,33,28,30,3,1,16,1,2,140,16,3,2,1,30,28,28
28,133,28,28,28,30,29,3,34,29,29,30,34,30,28,28,30,34,1,133,1,2,1,34,19,2,34,3,28,28
28,29,28,28,30,3,30,29,29,30,30,1,3,30,28,28,1,2,1,25,19,1,1,1,21,19,2,1,30,28
28,28,28,28,1,34,1,30,30,3,34,1,1,3,30,30,1,2,3,34,20,1,1,2,1,16,2,1,34,28
28,28,28,1,1,18,112,19,1,18,15,19,112,1,1,1,34,1,18,20,1,34,3,112,1,34,3,1,1,32
28,28,28,1,44,20,2,16,1,34,2,146,1,34,3,1,21,15,23,1,3,28,28,1,2,16,1,1,36,32
28,28,36,1,16,2,34,16,3,21,15,20,1,3,18,39,1,2,34,3,29,28,28,3,1,16,1,3,29,28
28,28,1,37,16,2,3,112,1,1,1,3,2,1,39,20,3,1,1,1,28,28,28,29,1,44,1,38,28,28
28,28,28,28,21,34,2,21,15,34,1,34,3,1,17,1,34,1,112,30,28,33,28,28,3,1,1,29,28,33
33,28,28,28,28,1,1,1,29,29,2,1,29,29,34,1,1,29,28,28,28,28,28,28,29,34,28,28,28,28
