16,3,1,34,10,29,16,10,30,9,34,3,5,35,30,3,36
34,15,15,20,1,1,34,15,112,1,16,30,28,113,28,30,28
16,1,1,3,30,30,16,1,1,34,24,26,19,3,3,30,54
21,15,133,1,30,30,3,18,15,20,112,28,133,19,28,30,37
29,1,21,19,1,1,1,34,1,1,1,30,28,30,28,27,8
9,1,1,21,34,1,1,16,1,18,15,34,5,54,30,3,5
1,34,1,1,16,29,8,21,3,20,1,16,28,28,28,27,13
3,29,29,18,20,29,29,1,16,30,30,16,1,18,34,23,1
1,29,29,34,1,1,18,34,20,30,30,57,1,16,1,21,19
34,3,1,25,15,15,20,1,1,1,18,15,15,23,1,3,34
21,19,1,16,1,52,29,29,18,34,20,1,1,34,30,30,1
1,25,34,20,1,16,29,29,16,1,30,30,18,20,30,30,3
11,27,28,28,28,16,1,18,3,19,10,30,16,1,1,34,1
5,3,29,49,5,34,15,20,1,16,1,1,34,19,1,1,7
10,27,28,29,28,29,1,1,1,34,1,1,1,21,19,1,30
37,29,28,21,133,28,112,18,15,20,3,29,29,1,133,15,19
49,29,3,3,21,26,22,34,1,1,16,29,29,3,1,1,16
28,29,28,113,28,29,16,1,112,15,34,1,1,18,15,15,34
36,3,29,35,5,3,34,7,29,8,16,30,8,34,1,3,16
