28,28,33,28,28,28,30,30,30,30,2,2,2,32,32,34,2,103,106,36
28,30,30,30,2,2,2,1,1,1,2,34,3,32,2,2,2,104,102,113
30,1,3,1,1,34,1,112,3,18,15,20,1,32,34,1,1,39,28,29
2,3,34,2,18,20,1,1,34,20,3,32,32,32,1,3,28,28,28,3
2,112,20,2,3,1,29,29,29,2,2,32,34,2,28,28,28,28,28,29
1,16,1,1,34,1,32,28,28,28,33,28,28,28,28,33,28,30,28,28
34,20,3,1,21,3,1,112,33,28,28,28,28,28,133,32,28,37,30,28
16,3,2,34,1,112,133,3,1,3,1,30,30,28,33,28,28,29,35,28
21,19,2,2,1,1,1,1,3,2,2,34,1,30,30,30,28,28,27,33
1,34,1,2,1,3,1,1,1,1,1,3,2,112,1,1,3,3,16,30
18,20,3,1,1,47,15,19,3,112,19,3,2,34,1,3,2,34,21,39
112,1,1,1,3,1,3,21,34,2,21,19,1,2,1,1,1,2,2,2
2,2,2,1,1,1,2,1,21,19,2,34,19,3,1,3,1,1,1,112
44,19,34,2,3,1,34,2,3,21,112,3,21,15,42,1,1,3,18,20
29,16,3,3,1,1,112,2,3,1,1,1,1,1,3,1,2,1,34,1
33,27,28,28,29,29,29,1,34,2,2,3,1,1,1,1,2,2,21,19
28,35,30,28,28,33,28,29,29,1,3,1,3,133,112,1,34,2,3,16
28,29,37,28,31,133,28,28,28,28,28,33,112,1,3,19,1,3,18,34
28,28,29,28,33,28,28,28,28,33,28,28,28,31,1,34,1,1,16,1
30,28,28,28,28,28,2,34,31,2,2,30,30,30,1,3,2,18,112,2
3,28,28,28,3,1,31,31,31,3,18,34,1,1,18,20,2,34,3,2
30,28,44,1,1,38,31,1,18,15,20,3,112,1,34,1,1,3,1,29
113,102,106,2,2,2,31,3,34,2,1,1,1,2,2,2,29,29,29,28
36,104,105,2,34,31,31,2,2,2,29,29,29,29,28,28,28,33,28,28
