36,15,19,116,39,1,112,116,35,2,1,21,19,3,34,1,1,1,18,115,34
113,108,21,17,34,110,113,106,2,1,1,34,21,115,15,115,15,34,20,2,16
39,3,3,16,3,1,25,19,1,1,112,1,1,1,112,1,1,1,1,18,20
102,113,108,16,2,1,34,116,1,1,1,1,133,15,115,19,1,112,1,34,1
18,24,115,34,1,1,1,21,115,34,1,18,20,1,34,116,1,16,1,1,3
116,1,2,3,1,112,1,2,1,1,1,116,3,1,1,21,115,34,1,1,1
16,1,1,1,1,116,1,1,3,18,15,20,1,1,112,1,1,1,1,1,112
34,3,1,1,18,20,1,1,18,20,1,1,34,1,1,1,3,18,15,115,95
116,1,1,18,20,34,1,1,21,115,145,115,19,1,1,34,18,20,1,1,116
42,115,15,20,3,1,1,1,34,1,1,18,20,1,1,18,20,1,1,3,34
112,1,1,1,1,1,112,1,1,18,15,20,3,1,1,116,1,1,1,1,16
1,1,1,34,115,19,1,1,3,116,1,1,1,2,1,112,1,3,2,1,116
3,1,1,16,1,116,34,1,18,20,1,34,115,19,1,1,1,34,115,22,20
1,34,1,112,1,21,115,15,133,1,1,1,1,116,34,1,2,16,110,113,102
18,20,1,1,1,1,112,1,1,1,112,1,1,21,23,1,3,16,3,3,92
16,2,18,34,15,115,15,115,19,34,1,1,2,104,113,108,34,17,19,110,113
34,115,20,1,1,1,34,3,21,19,1,2,35,116,112,1,92,116,21,15,36
