28,30,30,28,34,133,28,33,28,30,30,30,28,28,36,26,2,3,1,3,21,34,19,1,3
30,36,107,28,28,28,28,28,30,3,37,3,30,28,28,28,28,28,34,1,1,1,2,3,34
110,113,106,30,28,28,30,1,112,1,21,115,19,34,2,30,28,30,30,28,1,3,2,34,1
28,28,3,34,2,28,30,43,2,2,3,1,21,19,3,2,1,39,30,30,115,19,1,2,1
28,29,1,3,18,113,15,15,39,3,29,29,2,21,15,112,1,3,28,31,1,35,3,2,3
29,2,42,18,20,34,3,2,1,3,29,29,1,1,1,34,29,29,28,30,28,29,1,1,34
34,1,1,116,1,1,2,29,3,2,1,3,34,2,30,27,28,30,34,1,30,28,30,30,112
3,2,112,34,1,3,1,1,1,133,18,115,20,30,30,3,1,1,7,8,3,34,1,30,28
1,18,15,20,1,1,34,3,1,18,20,1,3,26,19,1,1,2,29,29,2,1,1,1,18
18,34,3,1,3,34,1,1,1,112,34,28,28,28,34,112,1,1,1,34,3,1,3,34,20
20,1,1,1,2,30,30,2,1,1,21,26,3,1,18,20,1,3,34,1,1,18,15,20,1
28,29,1,34,3,10,9,1,1,3,29,29,18,115,20,133,1,1,1,3,1,34,112,2,3
112,29,29,28,29,1,34,29,28,27,29,2,34,3,1,2,3,30,2,1,1,116,1,1,34
34,1,1,30,28,29,28,30,30,34,1,1,1,30,30,3,1,2,3,34,18,20,47,2,30
3,2,3,35,1,32,28,3,1,112,15,19,2,30,30,3,44,15,15,113,20,3,1,30,28
1,2,1,21,115,29,29,44,1,2,3,21,19,1,3,2,2,34,29,28,2,34,3,28,28
1,34,2,3,1,28,29,29,28,29,2,34,21,115,19,1,112,1,29,28,28,29,104,113,108
34,3,2,1,1,1,34,28,28,28,28,28,29,3,37,3,29,28,28,28,28,28,109,36,29
3,1,21,34,19,3,1,3,2,26,36,28,28,29,29,29,28,33,28,133,34,28,29,29,28
