2,2,36,28,29,2,18,20,112,1,3,35,7,9,34,1,3,21,19,34,3,1,32,28,28,31,36,103
112,2,113,26,22,15,20,1,34,3,30,30,30,1,3,1,1,39,21,15,19,2,34,34,30,28,28,2
145,28,27,28,16,39,3,1,2,110,9,112,3,18,19,2,2,3,1,1,21,15,19,1,112,30,28,28
28,32,16,43,16,1,107,2,1,34,1,1,1,34,21,15,19,2,2,29,29,1,21,19,1,34,32,28
2,3,21,22,20,1,114,3,18,20,1,3,2,3,1,1,21,19,1,30,30,3,3,16,133,1,32,28
2,2,3,16,1,3,109,1,42,1,1,1,1,1,1,1,34,21,19,1,34,1,1,16,1,2,32,28
29,2,112,16,34,3,1,1,3,3,18,15,19,112,3,2,3,1,16,3,1,1,34,21,19,3,32,28
28,37,26,23,3,1,2,3,1,18,20,1,34,29,29,1,1,112,34,2,2,1,3,1,16,112,32,28
28,31,112,16,1,3,1,2,2,34,112,1,1,30,30,34,1,18,20,1,3,2,1,3,25,26,37,28
28,31,3,21,19,34,1,1,3,16,1,3,2,3,112,21,15,20,3,3,1,1,3,34,16,112,2,30
28,31,2,1,16,1,1,34,1,21,19,34,1,1,1,1,1,1,1,47,1,107,3,1,16,3,2,2
28,31,1,133,16,3,3,29,29,1,21,19,1,1,3,2,3,1,18,20,3,114,1,18,24,19,3,2
28,31,34,1,21,19,1,30,30,2,2,21,15,19,34,1,1,1,34,1,2,109,1,16,34,16,31,28
28,28,29,112,1,21,15,19,1,1,3,2,2,21,20,3,112,7,108,2,1,3,44,16,28,27,28,145
2,28,28,29,34,34,2,21,15,19,44,1,1,3,1,29,29,29,3,34,1,18,15,24,26,113,2,112
105,36,32,28,28,31,1,3,34,21,19,3,1,34,7,9,35,3,1,112,18,20,2,30,28,36,2,2
