30,30,33,28,30,28,33,28,28,28,28,3,36,28,30,28,30,30,30,28,28,33,31,133,103
28,29,29,29,34,29,28,30,30,37,28,28,28,28,2,3,39,112,3,37,30,28,28,28,3
31,34,115,29,29,1,29,18,2,20,30,30,33,29,34,8,21,26,35,112,3,32,28,28,36
31,116,29,28,29,29,29,34,1,3,1,1,30,30,28,28,28,2,21,26,39,112,32,33,29
32,29,28,30,133,18,112,20,1,1,18,34,115,2,30,34,29,29,8,2,28,28,28,28,28
28,34,29,3,1,116,1,1,1,34,20,1,1,1,30,28,33,29,28,29,28,33,28,31,37
33,29,29,29,29,28,34,3,18,20,1,1,1,34,1,28,30,30,113,34,30,30,28,28,29
32,31,1,30,33,30,21,22,20,1,1,3,1,27,1,1,42,30,29,28,30,1,3,28,28
31,18,34,20,29,1,1,27,34,29,29,1,18,24,19,1,1,1,28,28,18,34,1,32,33
28,2,28,29,29,34,1,27,1,29,29,34,20,1,21,15,19,34,1,1,16,1,32,28,28
28,29,28,28,18,20,3,21,19,1,112,1,1,1,112,1,21,19,3,18,20,28,28,30,28
28,28,31,1,16,1,1,34,21,15,19,1,18,34,30,30,1,27,1,34,30,30,28,2,28
33,31,1,34,20,28,28,1,1,1,21,22,20,1,30,30,34,27,1,1,30,18,34,20,32
28,28,3,1,29,28,30,29,47,1,1,27,1,3,1,1,18,24,19,29,33,29,1,32,31
30,28,28,29,29,34,113,29,29,28,1,34,1,1,1,18,20,3,34,28,30,30,30,30,33
37,32,28,33,28,30,28,30,33,28,29,1,1,1,18,34,1,1,1,116,1,3,30,34,28
28,28,28,28,28,2,10,30,30,34,29,2,115,34,20,1,1,18,112,20,133,29,28,30,31
30,33,31,112,44,26,19,2,28,28,28,29,29,1,1,3,1,34,30,30,30,28,30,116,32
36,28,28,31,3,112,35,26,19,10,34,30,33,29,29,18,2,20,30,1,30,30,115,34,32
3,28,28,28,29,37,3,112,44,3,2,28,28,28,28,37,29,29,28,30,34,30,30,30,28
105,133,32,33,28,28,29,29,29,28,29,28,36,3,28,28,28,28,33,28,29,28,33,29,29
