133,3,28,2,3,1,34,28,31,39,2,2,21,34,1,1,3,34,28
3,1,2,1,1,2,3,1,1,1,3,3,1,1,3,18,15,20,1
28,2,28,30,28,3,1,1,1,3,1,1,3,1,1,16,1,3,34
34,2,31,37,28,2,1,34,32,28,1,1,34,2,3,133,3,1,3
2,1,28,28,28,2,29,28,28,31,3,1,112,2,3,2,2,1,1
1,3,1,3,32,29,30,1,1,1,1,1,3,1,3,1,34,115,15
3,107,1,34,28,28,1,1,3,34,1,1,1,1,1,1,1,1,1
2,101,39,1,28,31,1,1,18,20,1,1,34,115,47,1,1,107,3
36,101,3,1,28,31,3,1,16,1,1,3,1,1,5,34,1,101,1
1,114,1,3,5,112,1,1,34,102,34,1,1,112,5,3,1,114,1
1,101,1,34,5,1,1,3,1,1,16,1,3,32,28,1,3,101,36
3,109,1,1,42,115,34,1,1,18,20,1,1,32,28,1,44,101,2
1,1,1,1,1,1,1,1,1,34,3,1,1,28,28,34,1,109,3
15,115,34,1,3,1,3,1,1,1,1,1,29,30,31,3,1,3,1
1,1,2,2,3,2,112,1,3,32,28,28,30,2,28,28,28,1,2
3,1,3,133,3,2,34,1,1,28,31,34,1,2,28,37,32,2,34
34,3,1,16,1,1,3,1,1,3,1,1,1,3,28,29,28,2,28
1,18,15,20,3,1,1,3,3,1,1,1,3,2,1,1,2,1,3
28,34,3,1,1,34,19,2,2,44,32,28,34,1,3,2,28,3,133
