112,1,112,18,34,15,15,19,3,1,34,1,1,1,3,1,1,34,3,36,3
3,36,1,2,2,2,2,21,15,19,1,1,1,3,1,34,1,1,110,113,108
112,3,2,95,2,3,34,1,3,21,19,18,34,1,3,3,1,1,2,2,2
116,1,1,2,1,115,1,1,2,34,21,20,3,1,1,2,3,1,21,92,2
116,34,2,116,1,1,2,2,1,3,1,1,39,34,2,1,1,3,3,18,20
1,1,2,1,92,2,34,116,1,1,1,2,2,2,1,1,2,3,34,20,34
3,1,1,1,1,2,1,1,3,2,2,1,1,1,1,115,3,2,1,3,1
1,1,115,1,2,1,3,1,34,2,1,34,1,3,34,1,2,1,1,3,2
1,34,1,2,1,1,1,1,2,3,145,3,2,1,1,1,1,2,1,34,1
2,3,1,1,2,1,34,3,1,34,1,2,34,1,3,1,2,1,115,1,1
1,3,1,2,3,115,1,1,1,1,2,2,3,1,1,2,1,1,1,1,3
34,18,34,3,2,1,1,2,2,2,1,1,1,116,34,2,39,1,2,1,1
18,20,3,3,1,1,2,34,92,1,1,3,1,2,2,1,1,116,2,34,116
2,39,19,1,3,2,1,1,3,18,19,34,2,1,1,115,1,2,1,1,116
2,2,2,1,1,3,3,1,34,20,21,19,3,1,34,3,2,42,2,3,112
110,113,108,1,1,34,1,3,1,1,1,21,15,19,2,2,2,2,1,36,3
3,36,3,34,1,1,3,1,1,1,34,1,3,21,15,15,34,20,112,1,112
