2,3,1,1,3,32,34,2,2,2,29,34,3,1,2,2,2,3,1,1,21,2,36,2
2,1,112,120,1,32,1,1,2,1,29,27,29,3,34,3,29,29,3,2,3,1,1,3
1,1,16,1,29,29,29,1,34,1,3,20,28,28,1,1,32,28,31,2,118,1,1,34
1,18,20,3,32,28,31,1,3,1,2,2,28,31,3,1,32,28,31,2,2,2,1,1
3,34,1,32,32,28,28,2,118,2,2,32,30,30,133,19,30,30,30,1,34,2,3,1
1,1,1,32,32,34,28,2,1,2,31,34,1,2,1,21,15,34,29,29,29,29,29,34
1,3,112,2,32,27,30,3,1,28,31,3,1,1,1,3,1,2,1,3,1,29,28,28
1,21,34,19,1,3,1,1,1,2,31,1,18,34,1,112,1,3,18,34,1,29,29,28
30,30,1,3,1,18,15,34,1,3,31,27,27,32,3,1,34,15,20,1,3,1,29,29
28,30,30,1,34,20,3,1,112,1,34,20,1,32,2,1,1,1,3,1,21,34,19,1
28,28,30,1,3,1,2,1,3,1,1,1,3,32,28,1,3,29,27,31,2,112,3,1
34,30,30,30,30,30,34,15,19,1,2,1,34,32,2,1,2,28,34,31,31,1,1,1
1,3,2,34,1,29,29,29,21,133,29,29,31,2,2,171,2,28,28,31,31,1,34,3
1,1,2,2,2,32,28,31,1,3,32,28,2,2,1,3,1,32,28,31,3,18,20,1
34,1,1,171,2,32,28,31,1,1,28,28,18,3,1,34,1,30,30,30,1,16,1,1
3,1,1,3,2,3,30,30,3,34,3,30,27,30,1,2,1,1,31,1,174,112,1,2
2,36,2,19,1,1,3,2,2,2,1,3,34,30,2,2,2,34,31,3,1,1,3,2
