3,2,34,3,1,3,1,26,1,1,3,31,34,1,3,1,34,1,1,1,36
2,1,1,2,35,1,29,9,34,1,7,31,18,15,15,164,1,1,2,2,1
1,164,1,1,1,7,30,1,1,7,9,18,20,2,1,3,1,1,3,2,1
18,20,1,3,7,9,1,1,1,5,34,20,2,1,1,1,1,34,1,7,30
16,7,27,27,2,34,3,1,29,30,3,1,1,34,3,1,7,30,30,9,1
27,9,1,167,1,1,1,7,30,1,3,133,1,7,30,28,30,1,3,1,34
21,34,3,1,1,29,4,30,1,2,1,7,30,9,1,1,34,3,1,1,7
3,1,29,4,4,30,1,1,34,1,32,9,1,1,3,1,1,1,7,30,9
7,29,9,1,1,1,3,1,1,7,31,1,34,1,1,29,4,4,30,1,3
9,1,1,3,34,1,1,7,29,9,1,2,1,29,4,30,1,1,3,34,19
34,1,3,1,29,28,29,9,1,133,3,1,29,9,1,1,1,85,1,7,27
1,7,29,29,9,1,3,34,1,1,3,29,30,1,3,34,2,27,27,9,16
29,9,1,34,1,1,1,1,2,18,34,5,1,1,1,7,9,3,1,18,20
1,2,3,1,1,3,1,2,18,20,7,9,1,1,29,9,1,1,1,82,1
1,2,2,1,1,82,15,15,20,32,9,1,34,7,30,1,35,2,1,1,2
36,1,1,1,34,1,3,1,34,32,3,1,1,26,1,3,1,3,34,2,3
