18,19,2,1,3,1,31,133,32,28,30,28,37,30,30,1,112,5,164,15,22,36,15,19
16,34,1,18,19,1,30,30,30,3,1,1,1,3,1,34,1,10,4,4,27,28,28,164
116,1,3,21,34,19,3,1,34,115,19,1,2,18,115,20,3,1,1,1,34,3,28,16
21,15,19,1,1,21,19,2,1,1,167,3,1,34,1,1,1,2,1,2,7,27,28,16
133,1,116,1,3,1,34,1,3,1,21,19,1,21,15,19,34,1,3,112,114,25,15,37
29,3,21,34,19,1,21,15,19,1,1,34,1,3,1,116,1,1,1,1,5,35,28,29
28,2,1,1,116,1,3,1,34,1,3,21,115,15,34,20,2,1,34,29,28,107,28,28
28,1,1,3,21,34,29,29,29,29,1,1,1,1,29,29,29,29,29,28,28,101,28,28
28,29,34,29,29,1,28,28,28,31,34,32,31,28,32,28,37,28,30,28,28,109,28,28
28,28,107,28,28,29,28,37,28,31,28,32,31,34,32,28,28,28,1,30,30,34,30,28
28,28,101,28,28,30,30,30,30,30,1,1,1,1,30,30,30,30,34,19,3,1,1,28
28,28,109,28,30,34,1,2,18,34,15,115,19,3,1,34,1,3,1,116,1,1,2,28
30,28,35,5,1,1,1,1,116,1,3,1,34,1,1,21,15,19,1,21,34,19,3,30
37,15,23,114,112,3,1,34,21,15,19,1,21,19,1,3,1,34,1,3,1,116,1,133
16,28,27,9,2,1,2,1,1,1,34,1,3,174,1,1,2,21,19,1,1,21,15,19
16,28,3,34,1,1,1,3,18,115,20,2,1,21,115,34,1,3,21,34,19,3,1,116
171,28,28,27,4,4,8,1,34,1,3,1,1,1,3,29,29,29,1,21,20,1,34,16
21,15,36,24,15,171,5,112,1,29,29,37,28,29,28,31,133,32,1,3,1,2,21,20
