2,104,34,2,1,3,3,31,28,30,30,30,30,2,2,18,15,19,2,1,1,3
2,37,30,30,30,30,30,29,2,31,110,112,112,108,2,116,1,39,1,2,107,36
2,32,32,3,2,110,39,112,108,2,3,1,1,1,2,16,2,1,2,35,103,113
3,32,3,2,2,34,3,2,2,3,3,1,42,3,115,20,2,1,1,21,15,20
1,32,32,34,2,3,109,2,1,34,3,3,1,3,1,1,2,34,1,1,3,1
1,133,31,3,2,2,2,3,34,3,1,1,1,1,1,2,3,1,1,3,2,1
1,112,31,1,3,34,1,31,3,1,1,34,3,1,3,2,1,1,3,1,3,1
1,1,31,30,30,30,30,29,1,1,1,1,1,1,34,1,2,1,34,3,1,3
34,1,31,3,1,34,1,1,1,34,112,19,1,1,1,1,1,1,1,32,29,29
30,30,31,1,1,1,1,1,1,1,21,112,34,1,1,1,34,1,3,32,1,34
3,1,3,34,1,2,1,34,1,1,1,1,1,1,30,29,29,29,29,32,1,1
1,3,1,3,1,1,2,3,1,3,34,1,1,3,32,1,34,3,1,32,112,1
1,2,3,1,1,3,2,1,1,1,1,1,3,34,3,2,2,2,3,32,133,1
1,3,1,1,34,2,1,1,3,1,3,3,34,1,2,107,3,2,34,31,31,1
18,15,19,1,1,2,18,115,3,47,1,3,3,2,2,3,34,2,2,3,31,3
113,105,35,2,1,2,16,2,1,1,1,3,2,110,112,44,108,2,3,31,31,2
36,109,2,1,44,1,116,2,110,112,112,108,32,2,30,29,29,29,29,29,37,2
3,1,1,2,21,15,20,2,2,29,29,29,29,28,32,3,3,1,2,34,106,2
